text,class,processed_tokens
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",ham,"['go', 'jurong', 'point', 'crazi', '..', 'avail', 'bugi', 'n', 'great', 'world', 'la', 'e', 'buffet', '...', 'cine', 'got', 'amor', 'wat', '...']"
Ok lar... Joking wif u oni...,ham,"['ok', 'lar', '...', 'joke', 'wif', 'u', 'oni', '...']"
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam,"['free', 'entri', 'wkli', 'comp', 'win', 'fa', 'cup', 'final', 'tkt', '21st', 'may', 'text', 'fa', 'receiv', 'entri', 'question', 'std', 'txt', 'rate', 'c', ""'s"", 'appli', '08452810075over18', ""'s""]"
U dun say so early hor... U c already then say...,ham,"['u', 'dun', 'say', 'earli', 'hor', '...', 'u', 'c', 'alreadi', 'say', '...']"
"Nah I don't think he goes to usf, he lives around here though",ham,"['nah', ""n't"", 'think', 'goe', 'usf', 'live', 'around', 'though']"
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",spam,"['freemsg', 'hey', 'darl', ""'s"", 'week', ""'s"", 'word', 'back', ""'d"", 'like', 'fun', 'still', 'tb', 'ok', 'xxx', 'std', 'chg', 'send', 'å£1.50', 'rcv']"
Even my brother is not like to speak with me. They treat me like aids patent.,ham,"['even', 'brother', 'like', 'speak', 'treat', 'like', 'aid', 'patent']"
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham,"['per', 'request', ""'mell"", 'mell', 'oru', 'minnaminungint', 'nurungu', 'vettam', 'set', 'callertun', 'caller', 'press', 'copi', 'friend', 'callertun']"
WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam,"['winner', 'valu', 'network', 'custom', 'select', 'receivea', 'å£900', 'prize', 'reward', 'claim', 'call', 'claim', 'code', 'kl341', 'valid', 'hour']"
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,spam,"['mobil', 'month', 'u', 'r', 'entitl', 'updat', 'latest', 'colour', 'mobil', 'camera', 'free', 'call', 'mobil', 'updat', 'co', 'free']"
